Operation,Operand1,Operand2,Result
add,5.0,3.0,8.0
subtract,10.0,4.0,6.0
multiply,6.0,7.0,42.0
divide,8.0,2.0,4.0
add,5.0,3.0,8.0
subtract,10.0,4.0,6.0
multiply,6.0,7.0,42.0
divide,8.0,2.0,4.0
add,5.0,3.0,8.0
subtract,10.0,4.0,6.0
multiply,6.0,7.0,42.0
divide,8.0,2.0,4.0
add,5.0,3.0,8.0
subtract,10.0,4.0,6.0
multiply,6.0,7.0,42.0
divide,8.0,2.0,4.0
add,5.0,3.0,8.0
subtract,10.0,4.0,6.0
multiply,6.0,7.0,42.0
divide,8.0,2.0,4.0
add,5.0,3.0,8.0
subtract,10.0,4.0,6.0
multiply,6.0,7.0,42.0
divide,8.0,2.0,4.0
add,5.0,3.0,8.0
subtract,10.0,4.0,6.0
multiply,6.0,7.0,42.0
divide,8.0,2.0,4.0
add,5.0,3.0,8.0
subtract,10.0,4.0,6.0
multiply,6.0,7.0,42.0
divide,8.0,2.0,4.0
add,5.0,3.0,8.0
subtract,10.0,4.0,6.0
multiply,6.0,7.0,42.0
divide,8.0,2.0,4.0
add,5.0,3.0,8.0
subtract,10.0,4.0,6.0
multiply,6.0,7.0,42.0
divide,8.0,2.0,4.0
add,5.0,3.0,8.0
subtract,10.0,4.0,6.0
multiply,6.0,7.0,42.0
divide,8.0,2.0,4.0
